H NUM   Z    A    ISOM ABUNDNACE_MF  ISOTP
 # source Iliadis et al. 2002 Table 2
 # model JCH 1
    1     1.    1.   1   3.50000E-01  PROT
    2     1.    2.   1   2.40000E-05  H   2
    3     2.    3.   1   1.50000E-05  HE  3
    4     2.    4.   1   1.40000E-01  HE  4
    5     3.    6.   1   3.20000E-10  LI  6
    6     3.    7.   1   4.70000E-09  LI  7
    7     4.    9.   1   8.30000E-11  BE  9
    8     5.   10.   1   5.30000E-10  B  10
    9     5.   11.   1   2.40000E-09  B  11
   10     6.   12.   1   6.10000E-03  C  12
   11     6.   13.   1   1.80000E-05  C  13
   12     7.   14.   1   5.50000E-04  N  14
   13     7.   15.   1   2.20000E-06  N  15
   14     8.   16.   1   2.60000E-01  O  16
   15     8.   17.   1   1.90000E-06  O  17
   16     8.   18.   1   1.10000E-05  O  18
   17     9.   19.   1   2.00000E-07  F  19
   18    10.   20.   1   1.60000E-01  NE 20
   19    10.   21.   1   3.00000E-03  NE 21
   20    10.   22.   1   2.20000E-03  NE 22
   21    11.   23.   1   3.20000E-02  NA 23
   22    12.   24.   1   2.80000E-02  MG 24
   23    12.   25.   1   7.90000E-03  MG 25
   24    12.   26.   1   5.00000E-03  MG 26
   25    13.   27.   1   5.40000E-03  AL 27
   26    14.   28.   1   3.30000E-04  SI 28
   27    14.   29.   1   1.70000E-05  SI 29
   28    14.   30.   1   1.20000E-05  SI 30
   29    15.   31.   1   1.10000E-06  P  31
   30    16.   32.   1   2.00000E-04  S  32
   31    16.   33.   1   4.50000E-07  S  33
   32    16.   34.   1   2.60000E-06  S  34
   33    17.   35.   1   4.90000E-07  CL 35
   34    17.   37.   1   1.70000E-07  CL 37
   35    18.   36.   1   3.90000E-05  AR 36
   36    18.   38.   1   1.90000E-06  AR 38
   37    19.   39.   1   4.80000E-07  K  39
   38    20.   40.   1   3.00000E-05  CA 40
